투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,036930,주성엔지니어링,KOSDAQ,107.58,204.72,310.42,275.0,5856621246000,126000,1848,33.33
2026,2026-05,2026-04-30,039030,이오테크닉스,KOSDAQ,21.72,24.47,98.31,305.9,5765549400000,468000,106701,2.35
2026,2026-05,2026-04-30,240810,원익IPS,KOSDAQ,8.33,2.36,82.4,415.86,5747724807100,117100,1015,8.8
2026,2026-05,2026-04-30,214370,케어젠,KOSDAQ,16.19,-15.94,62.56,342.35,5666932500000,105500,149583,-3.51
2026,2026-05,2026-04-30,310210,보로노이,KOSDAQ,-7.49,26.79,44.9,197.07,5226216564000,284000,110939,-5.99
2026,2026-05,2026-04-30,095340,ISC,KOSDAQ,4.08,60.92,204.27,389.4,5140286565000,242500,197894,2.06
2026,2026-05,2026-04-30,108490,로보티즈,KOSDAQ,31.33,-6.5,43.54,848.94,4638949362000,316500,63,7.74
2026,2026-05,2026-04-30,403870,HPSP,KOSDAQ,28.61,13.12,52.02,134.3,4328980000000,52600,1661297,3.99
2026,2026-05,2026-04-30,440110,파두,KOSDAQ,70.18,268.0,207.87,637.04,3915895263400,78200,2049000,32.35
2026,2026-05,2026-04-30,263750,펄어비스,KOSDAQ,-14.64,2.97,70.23,66.15,3784198659500,58900,776820,-14.09
2026,2026-05,2026-04-30,032820,우리기술,KOSDAQ,5.88,139.2,348.13,974.63,3695679691200,21600,26409,-15.74
2026,2026-05,2026-04-30,214150,클래시스,KOSDAQ,10.1,-25.17,12.78,-13.53,3627102640400,55600,182217,-1.08
2026,2026-05,2026-04-30,357780,솔브레인,KOSDAQ,25.82,-6.24,61.84,163.22,3562583228000,458000,32300,5.13
2026,2026-05,2026-04-30,178320,서진시스템,KOSDAQ,40.0,55.96,119.15,192.38,3542155725500,59500,3633119,12.1
2026,2026-05,2026-04-30,226950,올릭스,KOSDAQ,-6.81,25.09,45.57,265.47,3501850567500,172500,288160,-6.96
2026,2026-05,2026-04-30,319400,현대무벡스,KOSDAQ,31.45,-0.79,210.4,597.44,3491638822650,31350,1989859,39.87
2026,2026-05,2026-04-30,064760,티씨케이,KOSDAQ,28.67,23.53,77.11,243.06,3286748304000,294000,63537,18.54
2026,2026-05,2026-04-30,214450,파마리서치,KOSDAQ,4.85,-33.79,-42.05,-16.73,3257154648000,313500,85872,11.96
2026,2026-05,2026-04-30,347850,디앤디파마텍,KOSDAQ,9.44,-21.48,6.66,339.94,3250267707400,74200,378678,-6.06
2026,2026-05,2026-04-30,222800,심텍,KOSDAQ,83.35,43.8,37.88,452.73,3248772966000,87000,552297,26.21
2026,2026-05,2026-04-30,237690,에스티팜,KOSDAQ,5.46,-4.45,50.54,93.04,3178698867500,152500,230448,-6.56
2026,2026-05,2026-04-30,145020,휴젤,KOSDAQ,4.99,-8.68,-3.63,-30.92,3106768332500,252500,53478,13.07
