지수,연도,사이클4,사이클8,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
KOSPI,2008,4,8,-0.1436,0.0535,-0.0045,0.0713,0.0145,-0.0956,-0.0479,-0.0755,-0.0178,-0.2313,-0.0332,0.045
KOSPI,2009,1,1,0.0335,-0.0853,0.1347,0.1352,0.0194,-0.0042,0.1203,0.0222,0.0511,-0.0553,-0.0159,0.0817
KOSPI,2010,2,2,-0.0477,-0.0049,0.0616,0.0288,-0.0576,0.0348,0.0359,-0.0094,0.0746,0.0054,0.0115,0.0768
KOSPI,2011,3,3,0.0091,-0.063,0.0863,0.0407,-0.0228,-0.0195,0.0155,-0.1186,-0.0588,0.0788,-0.0322,-0.0118
KOSPI,2012,4,4,0.0712,0.0381,-0.008,-0.0159,-0.0699,0.0057,0.0151,0.0123,0.0478,-0.0422,0.0109,0.0332
KOSPI,2013,1,5,-0.0176,0.0329,-0.0107,-0.0204,0.0189,-0.0688,0.0272,0.0064,0.0366,0.0166,0.0073,-0.0164
KOSPI,2014,2,6,-0.0349,0.02,0.0028,-0.012,0.0169,0.0036,0.0369,-0.0037,-0.0234,-0.0276,0.0083,-0.0329
KOSPI,2015,3,7,0.0176,0.0187,0.0278,0.0422,-0.0058,-0.0192,-0.0212,-0.0437,0.011,0.034,-0.0185,-0.0154
KOSPI,2016,4,8,-0.0251,0.0024,0.0413,-0.0009,-0.0054,-0.0066,0.0233,0.0092,0.0044,-0.0173,-0.0123,0.0217
KOSPI,2017,1,1,0.0203,0.0116,0.0328,0.0209,0.0644,0.0189,0.0046,-0.0164,0.0132,0.0539,-0.0186,-0.0036
KOSPI,2018,2,2,0.0401,-0.0542,0.0076,0.0284,-0.0367,-0.04,-0.0133,0.012,0.0087,-0.1337,0.0331,-0.0266
KOSPI,2019,3,3,0.0803,-0.0043,-0.0249,0.0294,-0.0734,0.0435,-0.0498,-0.028,0.0484,0.0099,0.0022,0.0525
KOSPI,2020,4,4,-0.0358,-0.0623,-0.1169,0.1099,0.0421,0.0388,0.0669,0.0341,0.0007,-0.0261,0.143,0.1089
KOSPI,2021,1,1,0.0358,0.0123,0.0161,0.0282,0.0178,0.029,-0.0286,-0.001,-0.0408,-0.032,-0.0443,0.0488
KOSPI,2022,2,2,-0.1056,0.0135,0.0217,-0.0227,-0.0034,-0.1315,0.051,0.0084,-0.1281,0.0641,0.078,-0.0955
KOSPI,2023,3,3,0.0844,-0.005,0.0265,0.01,0.0302,-0.005,0.0266,-0.029,-0.0357,-0.0759,0.113,0.0473
KOSPI,2024,4,4,-0.0596,0.0582,0.0395,-0.0199,-0.0206,0.0612,-0.0097,-0.0348,-0.0303,-0.0143,-0.0392,-0.023
KOSPI,2025,1,5,0.0491,0.0061,-0.0204,0.0304,0.0552,0.1386,0.0566,-0.0183,0.0749,0.1994,-0.044,0.0732
KOSPI,2026,2,6,0.2397,0.1952,-0.1908,0.3061,0.2845,0.0,-0.2219,0.034,,,,
KOSDAQ,1997,1,5,,-0.0202,0.0179,0.04,0.0441,0.0176,0.0002,0.0066,-0.0095,-0.0927,-0.0882,-0.1144
KOSDAQ,1998,2,6,0.0604,0.0015,-0.002,-0.1209,-0.1359,-0.0462,-0.0651,-0.0867,-0.0428,0.0477,0.003,0.1723
KOSDAQ,1999,3,7,0.013,-0.0507,0.1036,0.4927,0.2215,0.2342,0.0747,0.0414,-0.2182,0.1417,0.2777,0.1175
KOSDAQ,2000,4,8,-0.2568,0.3992,-0.1693,-0.2851,-0.0887,0.0535,-0.2375,-0.0623,-0.1696,-0.1718,-0.0994,-0.2183
KOSDAQ,2001,1,1,0.6044,-0.0901,-0.1085,0.154,0.0301,-0.0551,-0.1142,-0.0918,-0.1649,0.2113,0.1274,0.024
KOSDAQ,2002,2,2,0.0713,0.0175,0.1781,-0.2091,-0.0485,-0.128,-0.0366,0.0084,-0.2098,0.0287,0.0801,-0.1453
KOSDAQ,2003,3,3,-0.0219,-0.0371,-0.096,0.1332,0.1023,0.0545,-0.0084,0.0043,-0.0945,0.0339,-0.0116,-0.0212
KOSDAQ,2004,4,4,-0.0162,-0.0289,0.0128,0.0445,-0.1159,-0.0393,-0.1401,0.0738,0.0181,-0.0139,0.0459,0.0185
KOSDAQ,2005,1,5,0.2435,0.0538,-0.087,-0.0673,0.1109,0.0673,0.0864,-0.0782,0.1349,0.0271,0.2127,-0.0149
KOSDAQ,2006,2,6,-0.0165,-0.0114,-0.0251,0.0304,-0.0802,-0.0632,-0.0559,0.0272,0.0482,-0.0238,0.0615,-0.0257
KOSDAQ,2007,3,7,-0.0491,0.0426,0.08,0.0414,0.1065,0.0412,0.0422,-0.0448,0.0251,0.0195,-0.0842,-0.0507
KOSDAQ,2008,4,8,-0.1355,0.0774,-0.0175,0.004,0.0079,-0.095,-0.086,-0.1282,-0.0627,-0.3012,-0.0018,0.0799
KOSDAQ,2009,1,1,0.0989,-0.0046,0.1603,0.1887,0.0555,-0.0825,0.0396,0.0205,-0.017,-0.0385,-0.0455,0.1061
KOSDAQ,2010,2,2,-0.0331,0.0211,0.0172,0.0155,-0.0655,0.0011,-0.0174,-0.0348,0.0603,0.0684,-0.0533,0.0247
KOSDAQ,2011,3,3,0.0209,-0.0325,0.0415,-0.0274,-0.0518,-0.0103,0.1178,-0.0795,-0.0887,0.0912,0.0043,0.015
KOSDAQ,2012,4,4,0.0276,0.0551,-0.0419,-0.0783,-0.0145,0.0365,-0.0441,0.0871,0.0304,-0.0295,-0.0176,-0.0061
KOSDAQ,2013,1,5,0.0148,0.0639,0.0357,0.0159,0.0248,-0.1018,0.0679,-0.0678,0.0351,-0.0046,-0.0289,-0.033
KOSDAQ,2014,2,6,0.0304,0.0267,0.0239,0.0328,-0.0229,-0.0173,-0.0014,0.0632,0.0053,-0.0253,-0.0244,-0.0039
KOSDAQ,2015,3,7,0.0895,0.0557,0.0415,0.0592,0.0325,0.0434,-0.0232,-0.0523,-0.0126,0.0076,0.0069,-0.0088
KOSDAQ,2016,4,8,0.0007,-0.0457,0.0564,0.0165,-0.0019,-0.0334,0.0461,-0.0602,0.0264,-0.083,-0.0457,0.0593
