순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
41,NYSE,SHEL,SHELL PLC,58769.9,2002-06-28,55.27,19.395,0.49,1.75,12.75,-5.15,-17.32
42,NYSE,ABT,ABBOTT LABORATORIES,58757.1,2002-06-28,37.65,9.717,-20.74,-28.11,-31.92,-20.26,10.8
43,NYSE,CHL,CHINA MOBILE LTD,54402.2,2002-06-28,14.62,7.858,-7.17,-5.37,-16.36,-45.43,-5.96
44,NYSE,UL,UNILEVER PLC,53344.7,2002-06-28,20.289,8.375,-1.56,17.17,11.64,9.36,-4.27
45,NYSE,SIEGY,SIEMENS AKTIENGESELLSCHAFT,52760.9,2002-06-28,29.7,21.377,-3.57,-9.79,-8.03,-2.3,-15.98
46,NYSE,WB1,WACHOVIA CORP NEW,52254.3,2002-06-28,38.18,29.709,-0.5,3.61,23.4,12.38,-6.23
47,NYSE,MDT,MEDTRONIC PLC,52022.4,2002-06-28,42.85,26.521,-7.15,-5.1,-16.12,-6.4,-5.57
48,NYSE,ORCL,ORACLE CORP,52001.8,2002-06-28,9.47,7.547,19.87,-26.02,-31.42,-50.16,5.7
49,NYSE,BMY,BRISTOL MYERS SQUIBB CO,49815.4,2002-06-28,25.7,10.083,-17.42,-36.06,-48.95,-47.05,-7.79
50,NYSE,DDAIF,DAIMLER AG,49390.7,2002-06-28,48.23,37.541,-2.33,9.24,18.04,6.7,-11.34
51,NYSE,SONY,SONY GROUP CORP,49001.5,2002-06-28,10.62,8.952,-8.62,2.71,18.24,-18.77,-14.63
52,NYSE,AXP,AMERICAN EXPRESS CO,48302.8,2002-06-28,36.32,22.74,-14.56,-11.15,2.2,-5.55,-2.71
53,NYSE,MMM,3M CO,47889.8,2002-06-28,61.5,26.528,-1.91,7.48,5.12,10.06,2.27
54,NYSE,MS,MORGAN STANLEY,47386.5,2002-06-28,43.08,21.574,-5.24,-24.52,-22.37,-31.83,-5.82
55,NYSE,HPQ,HP INC,46844.6,2002-06-28,15.28,4.014,-19.61,-14.45,-24.99,-45.65,-7.4
56,NYSE,ONE1,BANK ONE CORP,45459.6,2002-06-28,38.48,36.822,-4.67,-7.29,-0.22,10.17,1.12
57,NYSE,PHA,PHARMACIA CORP,45300.5,2002-06-28,35.032,35.032,-13.29,-16.93,-12.19,-18.5,19.47
58,NYSE,USB,US BANCORP,44638.3,2002-06-28,23.35,10.518,-0.41,4.36,13.49,6.09,-8.4
59,NYSE,NMR,NOMURA HOLDINGS INC,44361.7,2002-06-28,14.7,8.036,-10.91,11.03,20.99,,-7.83
60,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,44242.5,2002-06-28,14.4,7.994,-35.13,-65.55,-72.41,-73.43,-33.34
61,NYSE,DD1,DUPONT E I DE NEMOURS & CO,44097.8,2002-06-28,44.4,25.216,-3.48,-5.11,6.08,-4.97,-5.61
62,NYSE,MTLQQ,GENERAL MOTORS CORP,44063.5,2002-06-28,53.45,41.031,-14.0,-10.92,11.88,-13.88,-12.91
63,NYSE,BUD1,ANHEUSER-BUSCH COMPANIES INC,43825.3,2002-06-28,50.0,43.819,-2.78,-3.87,11.37,23.23,3.42
64,NASDAQ,AMGN,AMGEN INC,43512.9,2002-06-28,41.88,28.128,-12.07,-29.83,-25.8,-30.98,8.98
65,NASDAQ,VOD,VODAFONE GROUP PUBLIC LTD CO,42421.2,2002-06-28,15.902,4.178,-7.81,-25.31,-46.4,-38.13,11.13
66,NYSE,TELFY,TELEFONICA S A,42234.9,2002-06-28,7.809,2.177,-20.87,-24.93,-35.5,-30.56,8.18
67,NASDAQ,TXN,TEXAS INSTRUMENTS INC,41105.2,2002-06-28,23.7,14.434,-17.34,-28.35,-15.24,-25.5,-2.23
68,NASDAQ,WBA,WALGREENS BOOTS ALLIANCE INC,39534.1,2002-06-28,38.63,21.856,0.97,-1.34,14.98,12.54,-8.54
69,NYSE,FITB,FIFTH THIRD BANCORP,38849.6,2002-06-28,66.65,32.466,2.64,-0.88,9.43,12.57,-0.87
70,NYSE,PTRCY,PETROCHINA CO LTD,38611.0,2002-06-28,21.96,9.353,4.67,8.18,27.15,15.3,-1.77
71,NYSE,DIS,WALT DISNEY CO,38571.5,2002-06-28,18.9,14.597,-17.5,-18.11,-8.79,-33.94,-6.19
72,NYSE,T1,AT&T CORP,38505.1,2002-06-28,53.5,18.048,-10.27,-31.59,-40.65,-36.36,-4.86
73,NYSE,BTTGY,BT GROUP PLC,37998.5,2002-06-28,19.06,8.526,-6.55,-5.13,3.72,-41.04,-17.02
74,NYSE,MCD,MCDONALDS CORP,36187.8,2002-06-28,28.45,15.17,-4.97,2.53,7.48,6.0,-13.01
75,NYSE,WAMUQ,WASHINGTON MUTUAL INC,36154.6,2002-06-28,37.11,27.852,-3.87,12.78,15.13,1.61,0.81
76,NYSE,SGP1,SCHERING PLOUGH CORP,36066.5,2002-06-28,24.6,21.932,-7.0,-20.92,-30.55,-30.8,4.35
77,NYSE,BA,BOEING CO,35955.8,2002-06-28,45.0,30.002,5.51,-6.38,16.96,-17.76,-7.73
78,NYSE,G1,GILLETTE CO,35793.7,2002-06-28,33.87,32.137,-4.32,0.07,2.38,19.18,-2.92
79,NYSE,LOW,LOWES COMPANIES INC,35332.3,2002-06-28,22.7,15.873,-3.73,4.44,-2.09,25.41,-16.59
80,NYSE,MER,MERRILL LYNCH & CO INC,34938.2,2002-06-28,40.5,35.641,-0.52,-26.6,-21.74,-30.71,-11.58
81,NYSE,GS,GOLDMAN SACHS GROUP INC,34761.8,2002-06-28,73.35,51.243,-2.75,-18.57,-20.66,-13.99,-0.1
82,NYSE,TGT,TARGET CORP,34565.8,2002-06-28,38.1,22.222,-8.08,-11.52,-6.93,10.75,-12.47
83,NASDAQ,AMRN,AMARIN CORP PLC,33963.3,2002-06-28,1640.0,1640.0,3.4,-42.17,-52.79,-18.16,-64.51
