순위,시장,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
342,NYSE,FNV,FRANCO NEVADA CORP,44491.8,2026-05-29,230.7,230.7,0.16,-17.65,10.33,37.72,-9.15
343,NASDAQ,IDXX,IDEXX LABORATORIES INC,44452.9,2026-05-29,563.53,563.53,0.49,-14.19,-25.15,9.77,1.19
344,NYSE,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,44312.9,2026-05-29,261.16,261.16,-3.12,-0.94,25.53,29.72,-0.75
345,NYSE,CLS,CELESTICA INC,44309.5,2026-05-29,385.39,385.39,-5.91,38.81,11.9,234.02,-10.46
346,NASDAQ,ERIC,ERICSSON LM TELEPHONE CO,44029.9,2026-05-29,13.06,13.06,10.58,14.2,37.98,59.44,-17.15
347,NASDAQ,ASTS,AST SPACEMOBILE INC,44017.2,2026-05-29,113.41,113.41,53.46,43.21,101.8,391.59,-34.56
348,NASDAQ,GFS,GLOBALFOUNDRIES INC,43856.9,2026-05-29,79.97,79.97,23.79,68.18,123.13,123.38,-17.67
349,NYSE,FERG,FERGUSON ENTERPRISES INC,43824.1,2026-05-29,225.97,225.97,-15.26,-12.66,-9.15,26.34,-1.23
350,NASDAQ,CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,43535.7,2026-05-29,236.03,236.03,35.64,110.23,32.9,287.19,4.39
351,NYSE,STT,STATE STREET CORP,43076.0,2026-05-29,155.64,155.64,1.83,21.8,32.48,66.16,15.61
352,NYSE,VIV,TELEFONICA BRASIL SA,41990.3,2026-05-29,13.14,13.14,-13.98,-19.17,3.93,40.72,1.07
353,NYSE,HMC,HONDA MOTOR CO LTD,41740.8,2026-05-29,26.99,26.99,10.89,-10.51,-10.78,-9.68,5.59
354,NYSE,DHI,HORTON D R INC,41711.7,2026-05-29,147.09,147.09,-4.11,-8.01,-6.95,26.05,5.87
355,NASDAQ,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,41619.0,2026-05-29,224.16,224.16,4.87,6.0,-8.9,-0.94,15.0
356,NYSE,WDS,WOODSIDE ENERGY GROUP LTD,41501.0,2026-05-29,21.83,21.83,-8.47,9.41,36.96,61.19,-9.21
357,NYSE,TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD,41127.6,2026-05-29,35.32,35.32,0.71,4.31,31.35,110.49,-1.9
358,NYSE,VIK,VIKING HOLDINGS LTD,41095.5,2026-05-29,92.11,92.11,12.45,18.06,37.93,106.34,8.58
359,NYSE,RKT,ROCKET COMPANIES INC,41055.0,2026-05-29,14.51,14.51,-0.75,-20.23,-27.38,13.8,0.83
360,NYSE,VTR,VENTAS INC,41042.4,2026-05-29,84.42,84.42,-3.92,-1.4,6.02,34.92,11.43
361,NASDAQ,ESLT,ELBIT SYSTEMS LTD,40942.9,2026-05-29,880.89,880.89,4.95,14.67,87.95,116.19,-11.69
362,NYSE,CMG,CHIPOTLE MEXICAN GRILL INC,40867.9,2026-05-29,31.86,31.86,-6.27,-14.4,-7.71,-36.38,7.82
363,NASDAQ,KDP,KEURIG DR PEPPER INC,40857.6,2026-05-29,30.03,30.03,2.14,0.04,9.48,-7.82,4.86
364,NYSE,FMX,MEXICAN ECONOMIC DEVELOPMENT INC,40853.9,2026-05-29,119.03,119.03,0.67,7.47,28.35,20.33,8.8
365,NYSE,YUM,YUM BRANDS INC,40778.2,2026-05-29,147.95,147.95,-6.87,-11.58,-2.04,4.78,13.21
366,NASDAQ,CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC,40727.7,2026-05-29,90.69,90.69,-3.07,-16.99,-0.03,1.44,17.43
367,NYSE,BSBR,BANCO SANTANDER (BRASIL) SA,40643.3,2026-05-29,5.44,5.44,-7.17,-14.95,-12.33,12.84,-6.25
368,NYSE,HLN,HALEON PLC,40554.2,2026-05-29,9.06,9.06,-1.95,-17.13,-6.2,-18.68,8.61
369,NYSE,BDX,BECTON DICKINSON & CO,40537.5,2026-05-29,147.12,146.111,-1.29,-16.1,-23.26,-12.75,6.24
370,NASDAQ,ALNY,ALNYLAM PHARMACEUTICALS INC,40318.1,2026-05-29,301.98,301.98,-2.43,-9.29,-33.08,-0.85,6.49
371,NYSE,CCL,CARNIVAL CORP LTD,40070.1,2026-05-29,28.06,28.06,6.49,-10.53,10.02,22.14,-4.92
372,NYSE,AMP,AMERIPRISE FINANCIAL INC,40068.0,2026-05-29,445.71,445.71,-5.78,-4.85,-1.55,-11.31,13.94
373,NYSE,CCI,CROWN CASTLE INC,39935.4,2026-05-29,91.5,91.5,3.06,3.43,2.66,-4.53,-15.61
374,NYSE,SLF,SUN LIFE FINANCIAL INC,39762.8,2026-05-29,71.8,71.8,0.57,10.59,23.88,15.81,11.28
375,NYSE,LYV,LIVE NATION ENTERTAINMENT INC,39668.5,2026-05-29,168.41,168.41,6.63,3.87,28.12,22.76,9.21
376,NASDAQ,PYPL,PAYPAL HOLDINGS INC,39474.2,2026-05-29,44.75,44.604,-10.75,-2.87,-28.4,-35.99,2.01
