순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
170,008930,한미사이언스,858000000000.0,2015-01-30,-2.92,5.16,-3.54,20.02,1.0
171,192520,경남은행,855000000000.0,2015-01-30,-8.4,-13.15,-18.05,,-3.67
172,002270,롯데푸드,850000000000.0,2015-01-30,7.07,-9.87,-15.51,-21.19,2.42
173,900140,코라오홀딩스,814000000000.0,2015-01-30,-13.27,5.58,-21.66,-24.27,9.71
174,000070,삼양홀딩스,810000000000.0,2015-01-30,5.46,5.58,25.13,37.9,-4.44
175,003470,유안타증권,779000000000.0,2015-01-30,7.3,33.45,32.11,68.94,12.72
176,053210,스카이라이프,775000000000.0,2015-01-30,-11.72,-17.14,-27.19,-42.25,2.16
177,068870,LG생명과학,774000000000.0,2015-01-30,28.65,20.21,45.48,13.76,-4.5
178,002320,한진,759000000000.0,2015-01-30,16.97,22.63,105.18,148.63,-6.47
179,020000,한섬,754000000000.0,2015-01-30,-5.99,-8.66,14.39,6.43,2.12
180,018670,SK가스,751000000000.0,2015-01-30,-10.95,-36.03,-20.91,20.17,6.84
181,175330,JB금융지주,738000000000.0,2015-01-30,-4.27,-12.2,-19.36,-12.76,16.98
182,005180,빙그레,733000000000.0,2015-01-30,-1.33,-10.9,-6.3,-17.79,-1.48
183,002240,고려제강,732000000000.0,2015-01-30,-3.79,-7.16,15.23,37.31,15.87
184,029530,신도리코,723000000000.0,2015-01-30,5.75,0.99,4.67,15.27,-0.28
185,069620,대웅제약,718000000000.0,2015-01-30,-7.74,-12.92,5.26,-16.44,-6.13
186,017390,서울가스,715000000000.0,2015-01-30,0.0,-4.35,13.49,23.81,0.35
187,037560,CJ헬로비전,702000000000.0,2015-01-30,-6.88,-12.37,-33.07,-54.54,16.87
188,060980,한라홀딩스,687000000000.0,2015-01-30,-8.49,-10.3,8.47,12.47,2.2
189,170900,동아에스티,682000000000.0,2015-01-30,-3.38,-5.74,-10.23,-23.29,6.43
190,025540,한국단자,674000000000.0,2015-01-30,-4.15,22.08,44.58,56.28,-3.4
191,051310,포스코플랜텍,672000000000.0,2015-01-30,22.0,31.04,-1.85,-35.84,7.13
192,023590,다우기술,657000000000.0,2015-01-30,22.59,32.58,28.51,-7.28,3.41
193,008000,도레이케미칼,654000000000.0,2015-01-30,11.46,8.88,21.55,33.02,-0.71
194,034310,NICE,650000000000.0,2015-01-30,12.46,3.0,29.43,23.38,13.41
195,002960,한국쉘석유,649000000000.0,2015-01-30,22.88,-0.1,-0.3,31.79,-9.01
196,031430,신세계인터내셔날,643000000000.0,2015-01-30,-21.05,-26.53,2.27,8.56,-0.33
197,003000,부광약품,641000000000.0,2015-01-30,15.74,9.77,37.98,62.28,15.29
198,064960,S&T모티브,640000000000.0,2015-01-30,5.83,14.12,26.64,60.77,9.33
199,103140,풍산,638000000000.0,2015-01-30,-9.18,-14.79,-23.91,-13.5,12.75
200,084690,대상홀딩스,628000000000.0,2015-01-30,3.27,-18.16,-10.57,114.99,7.78
