투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-07,2026-06-30,028670,팬오션,KOSPI,-13.75,-3.27,22.99,27.46,2531186639320,4735,1333290,10.67
2026,2026-07,2026-06-30,375500,DL이앤씨,KOSPI,-16.21,-4.04,55.77,23.75,2480261234300,64100,326855,-5.93
2026,2026-07,2026-06-30,005440,현대지에프홀딩스,KOSPI,15.22,15.05,90.14,76.56,2466406041820,15820,523289,-13.53
2026,2026-07,2026-06-30,026960,동서,KOSPI,-3.87,-13.71,-12.1,-16.9,2352920000000,23600,63291,8.26
2026,2026-07,2026-06-30,161890,한국콜마,KOSPI,16.37,30.92,60.23,-0.3,2348705161500,99500,454716,16.38
2026,2026-07,2026-06-30,003690,코리안리,KOSPI,3.35,8.5,15.08,29.69,2346855291680,13280,555308,4.89
2026,2026-07,2026-06-30,020150,롯데에너지머티리얼즈,KOSPI,-20.77,7.37,45.5,102.97,2327644830350,44450,240758,-23.85
2026,2026-07,2026-06-30,279570,케이뱅크,KOSPI,-1.9,-4.86,0.0,0.0,2304348457680,5680,1448425,-0.53
2026,2026-07,2026-06-30,204320,HL만도,KOSPI,-21.1,-0.1,-16.52,49.16,2300898880000,49000,692701,-2.86
2026,2026-07,2026-06-30,007810,코리아써키트,KOSPI,-19.95,36.43,97.72,755.73,2290340210000,95500,366813,-26.91
2026,2026-07,2026-06-30,004990,롯데지주,KOSPI,-9.82,-15.93,-13.23,-17.45,2287283659200,22950,193693,0.44
2026,2026-07,2026-06-30,281820,케이씨텍,KOSPI,83.87,162.19,190.29,335.16,2278825881100,115100,740028,-21.81
2026,2026-07,2026-06-30,139480,이마트,KOSPI,-4.3,-13.9,1.35,-3.51,2273895485600,82400,146426,-0.12
2026,2026-07,2026-06-30,000240,한국앤컴퍼니,KOSPI,-2.47,-1.25,-9.37,23.44,2249965188000,23700,88421,4.01
2026,2026-07,2026-06-30,007340,DN오토모티브,KOSPI,-14.45,0.13,56.56,72.07,2235115043000,38200,134613,-0.79
2026,2026-07,2026-06-30,081660,미스토홀딩스,KOSPI,10.68,1.1,-2.93,15.94,2200656768000,41450,202003,8.93
2026,2026-07,2026-06-30,457190,이수스페셜티케미컬,KOSPI,-25.75,-19.93,20.78,68.83,2160649348000,71500,139013,-14.69
2026,2026-07,2026-06-30,093370,후성,KOSPI,74.8,185.61,166.27,323.89,2150469366500,20050,6561171,-38.45
2026,2026-07,2026-06-30,006360,GS건설,KOSPI,-17.7,0.0,27.41,20.96,2148095399000,25100,487293,17.33
2026,2026-07,2026-06-30,009970,영원무역홀딩스,KOSPI,-14.83,-25.53,-14.83,17.25,2112767552700,163100,19421,18.39
2026,2026-07,2026-06-30,030000,제일기획,KOSPI,-1.41,-4.06,-13.33,-9.23,2093750295000,18200,308566,3.08
2026,2026-07,2026-06-30,008930,한미사이언스,KOSPI,-5.04,-18.73,-16.83,-32.7,2062005232500,30150,124062,9.78
2026,2026-07,2026-06-30,004370,농심,KOSPI,-12.86,-8.58,-22.43,-14.63,2040726391000,335500,26494,6.11
2026,2026-07,2026-06-30,001740,SK네트웍스,KOSPI,-10.9,104.27,122.35,124.33,2015968584450,10050,5431334,-18.91
2026,2026-07,2026-06-30,282330,BGF리테일,KOSPI,-6.76,-16.87,10.5,-4.3,2001476314800,115800,64611,10.36
2026,2026-07,2026-06-30,051600,한전KPS,KOSPI,-13.14,-20.18,-10.41,-26.29,1993500000000,44300,152136,-0.56
2026,2026-07,2026-06-30,071970,HD현대마린엔진,KOSPI,-17.58,-14.7,-34.53,16.5,1987799607000,58600,151221,1.71
2026,2026-07,2026-06-30,439260,대한조선,KOSPI,-17.72,-39.32,-22.39,0.0,1980613960000,52000,39773,-10.67
2026,2026-07,2026-06-30,007070,GS리테일,KOSPI,-8.02,7.31,16.92,41.14,1964774252500,23500,126556,13.19
2026,2026-07,2026-06-30,018670,SK가스,KOSPI,-11.81,-22.3,-7.11,-18.99,1934763996000,209000,10361,5.02
2026,2026-07,2026-06-30,462870,시프트업,KOSPI,15.44,2.65,-7.32,-32.72,1929727786000,32900,99689,3.8
2026,2026-07,2026-06-30,008770,호텔신라,KOSPI,-14.43,7.16,5.72,-8.8,1850548905150,47150,181202,5.51
2026,2026-07,2026-06-30,097230,HJ중공업,KOSPI,-1.95,-7.36,-4.28,153.46,1819451181600,20150,1393730,-20.65
2026,2026-07,2026-06-30,103140,풍산,KOSPI,-19.7,-25.72,-39.53,-49.96,1804763503200,64400,87856,-2.48
2026,2026-07,2026-06-30,120110,코오롱인더,KOSPI,-16.16,-17.53,34.23,36.66,1802751126400,60200,155263,-11.3
2026,2026-07,2026-06-30,112610,씨에스윈드,KOSPI,-10.42,-28.61,2.28,-9.28,1794393197650,42550,302839,-2.7
2026,2026-07,2026-06-30,475150,SK이터닉스,KOSPI,28.93,-4.79,149.76,118.6,1761264106800,51700,6608953,-7.06
2026,2026-07,2026-06-30,192820,코스맥스,KOSPI,-10.82,-21.17,-4.97,-44.58,1758038944100,154900,71374,18.98
2026,2026-07,2026-06-30,011210,현대위아,KOSPI,-29.78,-17.12,-15.59,39.52,1737765803700,63900,123681,-6.26
2026,2026-07,2026-06-30,000120,CJ대한통운,KOSPI,-13.33,-28.34,-21.67,-15.22,1690394690400,74100,50943,-0.67
2026,2026-07,2026-06-30,002790,아모레퍼시픽홀딩스,KOSPI,-4.8,-21.16,-18.81,-31.34,1666788324000,21800,89391,10.09
2026,2026-07,2026-06-30,395400,SK리츠,KOSPI,-0.92,-13.02,-6.56,17.1,1628505324200,5410,440713,4.99
2026,2026-07,2026-06-30,229640,LS에코에너지,KOSPI,-24.02,30.6,51.95,51.95,1607806147500,52500,99060,-18.38
2026,2026-07,2026-06-30,001820,삼화콘덴서,KOSPI,1.27,190.94,416.24,481.89,1569645000000,151000,1286858,-39.34
2026,2026-07,2026-06-30,322000,HD현대에너지솔루션,KOSPI,-20.54,-0.14,153.93,216.04,1555680000000,138900,224084,-13.61
2026,2026-07,2026-06-30,023590,다우기술,KOSPI,-9.99,-17.5,-8.37,3.94,1541028307200,35600,51697,0.14
2026,2026-07,2026-06-30,020560,아시아나항공,KOSPI,0.27,5.6,-6.49,-23.99,1514031725850,7350,56104,-5.71
2026,2026-07,2026-06-30,001800,오리온홀딩스,KOSPI,-3.99,4.57,16.46,9.32,1506622399100,24050,117423,11.43
2026,2026-07,2026-06-30,001120,LX인터내셔널,KOSPI,-12.28,-18.67,13.23,18.14,1426368000000,36800,232321,1.09
2026,2026-07,2026-06-30,006040,동원산업,KOSPI,-9.44,-15.17,-23.27,-31.96,1419127330850,32150,38516,7.31
2026,2026-07,2026-06-30,006280,녹십자,KOSPI,-14.99,-15.89,-24.4,-4.83,1404721867600,120200,61372,0.25
2026,2026-07,2026-06-30,073240,금호타이어,KOSPI,3.83,-17.98,-16.72,8.32,1401830200560,4880,4854063,46.72
2026,2026-07,2026-06-30,017960,한국카본,KOSPI,-17.21,-31.27,-10.55,2.69,1379762176200,26700,153967,-7.87
2026,2026-07,2026-06-30,192080,더블유게임즈,KOSPI,-6.87,28.17,18.84,11.56,1348749911600,63700,53689,-4.08
2026,2026-07,2026-06-30,003540,대신증권,KOSPI,-11.76,-23.4,0.0,10.66,1328933601000,27000,58905,-2.78
